English,Hindi,Hinglish,bert_base,vader_sentiment
Program module is a file that contains instructions which are either in the form of source code or machine language.,"माड्यूल, एक संचिका होती है, जिसमें या तो स्रोत कोड या मशीन भाषा के रूप में अनुदेश निहित होते हैं।","module , ek program hoti hai , jismen ya to source code ya machine language ke form men instructions nihit hote hain.",neutral,neutral
"And to Thamud We sent their brother Sali 'h. He said:' My people! Serve Allah; you have no god other than Him. He brought you into being out of the earth, and has made you dwell in it. So ask Him to forgive you, and do turn towards Him in repentance. Indeed My Lord is near, responsive to prayers.",और (हमने) क़ौमे समूद के पास उनके भाई सालेह को (पैग़म्बर बनाकर भेजा) तो उन्होंने (अपनी क़ौम से) कहा ऐ मेरी क़ौम ख़ुदा ही की परसतिश करो उसके सिवा कोई तुम्हारा माबूद नहीं उसी ने तुमको ज़मीन (की मिट्टी) से पैदा किया और तुमको उसमें बसाया तो उससे मग़फिरत की दुआ मॉगों फिर उसकी बारगाह में तौबा करो (बेशक मेरा परवरदिगार (हर शख़्श के) क़रीब और सबकी सुनता और दुआ क़ुबूल करता है,aur hamne aume samood ke pas unke bhaee saleh ko paimbar banakar bheja to unhonne apni aum se kaha ae meri aum uda hi ki parastish karo uske siva koee tumhara mabood nahin usi ne tumko zamin ki mitti se paida kiya aur tumko usmen basaya to usse maphirat ki duaa mgon phir uski bargah men tauba karo beshak mera paravardigar har shash ke rib aur sabki sunta aur duaa ubool karta hai,positive,positive
"and, when reminded, do not remember","और जब उन्हें याद दिलाया जाता है, तो वे याद नहीं करते,","aur jab unhen yad dilaya jata hai , to ve yad nahin karte ,",neutral,neutral
you won the TED Prize 2011.,तुम्हें २०११ का टेड प्राइज़ मिल गया है.,tumhen २०११ ka ted prize mil gaya hai,positive,positive
"He gone to Kerodemal College of Delhi University, where he taken Science Graduate Degree.",उन्होंने बाद अध्ययन करने के लिए ये दिल्ली विश्वविद्यालय के किरोड़ीमल कॉलेज चले गए जहां इन्होंने विज्ञान स्नातक की उपाधि प्राप्त की।,unhonne bad science karne ke lie ye delhi university ke kirorimal college chale ge jahan inhonne vijnjan graduate ki degree prapt ki.,neutral,neutral
Then We awakened them to know which of the two groups could better calculate the length of their stay.,"फिर हमने उन्हें भेजा, ताकि मालूम करें कि दोनों गिरोहों में से किसने याद रखा है कि कितनी अवधि तक वे रहे","phir hamne unhen bheja, taki maloom karen ki calculate the length se kisne yad rakha hai ki kitni avdhi tak ve rahe",neutral,positive
Really move all photos and videos to the trash?,क्या आप वाकई रद्दी में सारे फोटो और वीडियो खिसकाना चाहते हैं?,kya aap vakee raddi men sare photos and videos khiskana chahte hain,negative,neutral
And leave them desolate waste.,और धरती को एक समतल चटियल मैदान बनाकर छोड़ेगा,aur dharti ko ek samatal desolate maidan banakar chhorega,negative,negative
Please let me see when you 're online. Thanks!,मुझे देखने के लिए जब आप ऑनलाइन हो. धन्यवाद!,mujhe dekhne ke lie jab aap ऑnlain ho dhanyvad!,positive,positive
"It is He who prevails over His creatures, and He is all - wise and aware.","उसे अपने बन्दों पर पूर्ण अधिकार प्राप्त है। और वह तत्वदर्शी, ख़बर रखनेवाला है","use apne creatures par poorn adhikar prapt hai. aur vah wise, aware rakhnevala hai",positive,positive
"It belongs to the seventh century if not earlier , and was perhaps intended originally for the Buddhist creed , but was adopted later for a Vishnu temple , the principal deity being a recumbent Vishnu , or Anantasayin .","यदि यह और पहले का नहीं , तो भी सातवीं शताब्दी का बना है और शायद मूल रूप से बौद्ध मत के लिए था , किंतु बाद में विष्णु मंदिर में रूपांतरित कर दिया गया जिसमें प्रमुख देवता लेटे हुए विष्णु या अनंतशायी हैं .","yadi yah aur pahle ka nahin , to bhi seventh century ka bana hai aur earlier mool roop se buddhist creed ke lie tha , kintu bad men vishnu temple men roopantrit kar diya gaya jismen principal deity recumbent hue vishnu ya anantasayin hain",neutral,neutral
